Approval;CreditScore;DebttoIncomeRatio;Interest;RequestAmount
F;654;,14;8550;19000
T;675;,11;3600;8000
F;467;,03;2250;5000
F;699;,07;6300;14000
F;632;,08;3600;8000
T;720;,15;6750;15000
T;729;,03;9450;21000
T;741;,05;5400;12000
F;682;,07;3600;8000
T;741;,08;900;2000
T;759;,22;16200;36000
T;685;,24;9000;20000
T;749;,15;5850;13000
T;670;,05;11250;25000
T;808;,02;13050;29000
F;774;,1;12600;28000
T;687;,18;6750;15000
F;685;,09;1350;3000
F;592;,06;1350;3000
F;739;,41;7650;17000
F;784;,14;13500;30000
F;719;,27;3600;8000
T;793;,04;15750;35000
T;700;,15;5850;13000
T;778;,16;4950;11000
T;685;,18;7200;16000
F;667;,08;1800;4000
T;745;,19;4050;9000
F;663;,17;13500;30000
T;746;,08;8100;18000
T;766;,1;13050;29000
F;662;,17;5400;12000
T;750;,01;2700;6000
F;643;,05;1350;3000
F;473;,1;1350;3000
T;708;,12;4050;9000
T;680;,2;13500;30000
T;760;,18;900;2000
T;709;,1;2250;5000
F;663;,41;1800;4000
F;793;0;7650;17000
F;574;,04;3600;8000
T;698;,08;3150;7000
F;701;,19;450;1000
F;681;,23;3600;8000
F;696;,73;1800;4000
T;706;,07;9450;21000
F;674;,06;4950;11000
F;561;,08;450;1000
T;707;,21;7200;16000
F;685;,13;9000;20000
F;689;,89;9450;21000
F;658;,22;900;2000
F;559;,01;4050;9000
F;552;,02;2700;6000
F;742;,28;13950;31000
T;680;,18;4050;9000
T;694;,15;2700;6000
F;703;,08;2700;6000
T;689;,18;4950;11000
T;740;,22;2250;5000
T;708;,25;2700;6000
T;712;,01;2700;6000
T;774;,12;2250;5000
T;733;,16;5850;13000
T;744;,13;5400;12000
F;625;,12;10800;24000
F;771;,34;13050;29000
F;543;,21;3600;8000
F;691;,42;1350;3000
T;733;,27;3150;7000
T;699;,2;4050;9000
F;562;,2;14850;33000
F;721;,18;16200;36000
T;731;,08;4500;10000
T;670;,13;2250;5000
T;724;,21;13050;29000
T;698;,17;9900;22000
T;670;,27;9900;22000
T;724;,32;7200;16000
T;691;,2;900;2000
T;720;,2;3600;8000
F;650;,03;1800;4000
T;681;,15;5400;12000
T;683;,27;3600;8000
F;593;,18;1800;4000
F;640;,11;4050;9000
T;733;,12;12600;28000
T;664;,11;1800;4000
F;636;,21;9000;20000
T;677;,23;1800;4000
T;719;,18;3600;8000
F;685;,12;1350;3000
F;681;,3;7200;16000
T;777;,15;4050;9000
F;694;,35;1350;3000
F;686;,36;8550;19000
F;609;,12;3150;7000
F;630;,09;2700;6000
F;688;,17;9450;21000
T;670;,34;5850;13000
T;684;,15;900;2000
F;782;,17;11700;26000
T;751;,21;7200;16000
F;730;,08;1350;3000
F;673;,27;4050;9000
T;747;,29;3150;7000
F;729;,15;4950;11000
F;618;,15;12600;28000
T;659;,17;4500;10000
F;678;,04;5400;12000
T;694;,28;2250;5000
T;683;,13;5850;13000
F;500;,3;900;2000
T;751;,06;3150;7000
T;707;,08;7650;17000
F;738;,45;11700;26000
F;659;,56;3150;7000
F;649;,47;10350;23000
F;650;,09;12150;27000
F;699;,28;13050;29000
F;639;,2;4050;9000
F;718;,23;14400;32000
F;647;,22;8100;18000
T;679;,06;5400;12000
T;681;,12;6750;15000
T;724;,11;2250;5000
F;757;,06;1800;4000
T;673;,27;450;1000
F;625;,12;14400;32000
F;615;,52;2250;5000
T;713;,17;8100;18000
T;696;,23;450;1000
F;669;,08;1800;4000
T;737;,22;9000;20000
F;633;,23;450;1000
T;670;,06;1350;3000
T;696;,12;1800;4000
T;662;,16;2700;6000
F;569;,31;4050;9000
T;693;,09;1350;3000
F;513;,19;5400;12000
T;769;,1;17100;38000
F;657;,12;11700;26000
F;607;,15;6300;14000
F;577;,22;1800;4000
T;739;,05;3600;8000
T;702;,24;2250;5000
T;683;,16;12600;28000
F;593;,33;5850;13000
T;683;,13;2700;6000
F;758;,1;10350;23000
T;784;,03;12600;28000
T;683;,11;4500;10000
T;722;,1;2250;5000
F;657;,16;450;1000
F;695;,25;11700;26000
T;657;,1;6300;14000
T;691;,2;1350;3000
F;645;,08;4950;11000
T;716;,18;5400;12000
F;567;,25;2250;5000
F;666;,33;6300;14000
F;605;,11;1800;4000
T;733;,15;1800;4000
T;750;,1;6300;14000
T;799;,01;4050;9000
F;596;,14;900;2000
F;603;0;3150;7000
F;551;,51;9900;22000
T;668;,28;6300;14000
F;677;,54;9000;20000
F;689;,05;4950;11000
F;551;,12;1350;3000
F;610;,04;900;2000
T;723;,21;11700;26000
F;652;,19;2250;5000
T;699;,16;1350;3000
F;646;,19;4500;10000
F;633;,38;9000;20000
F;530;,39;12150;27000
T;715;,31;4500;10000
T;722;,06;2700;6000
F;793;,07;10350;23000
T;748;,09;9000;20000
F;630;,11;3600;8000
F;614;,04;13500;30000
F;627;,09;2250;5000
T;675;,11;3600;8000
F;653;,17;5850;13000
F;681;,06;17550;39000
T;682;,1;2700;6000
F;663;,15;7650;17000
F;541;,18;7650;17000
T;671;,17;5400;12000
F;690;,11;1350;3000
F;738;,34;11250;25000
T;721;,16;8550;19000
T;676;,14;6300;14000
F;649;,66;4950;11000
T;777;,09;2250;5000
T;734;,18;9450;21000
F;695;,36;3150;7000
T;826;,13;3600;8000
F;785;,22;450;1000
T;690;,07;9450;21000
T;751;,11;1350;3000
T;671;,09;1800;4000
T;798;,01;450;1000
T;679;,1;10800;24000
F;601;,35;8550;19000
F;676;,24;7200;16000
T;738;,23;6750;15000
F;700;,53;10350;23000
T;676;,12;3150;7000
T;751;,12;7650;17000
T;771;,16;9450;21000
T;684;,21;4050;9000
T;696;,19;6750;15000
T;711;,16;8550;19000
F;750;,31;12150;27000
F;612;,45;2700;6000
T;792;,06;7650;17000
T;718;,03;3150;7000
T;713;,29;4950;11000
T;697;,14;4500;10000
T;702;,13;1800;4000
T;756;,18;3600;8000
F;688;,4;6750;15000
T;669;,25;3150;7000
T;680;,18;10350;23000
T;698;,11;6750;15000
T;690;,19;2250;5000
F;630;,43;4050;9000
T;712;,12;5400;12000
T;709;,19;7650;17000
T;699;,19;5850;13000
F;647;,22;5400;12000
F;669;,04;4950;11000
T;710;,17;5400;12000
F;658;,44;16650;37000
T;722;,17;6300;14000
F;606;0;1350;3000
T;669;,08;1350;3000
F;619;,28;5850;13000
F;634;,18;2700;6000
F;783;,05;5850;13000
T;707;,15;1350;3000
T;729;,07;6750;15000
T;690;,13;13500;30000
T;691;,17;5400;12000
F;628;,19;11250;25000
T;677;,09;3150;7000
T;724;,21;11700;26000
F;620;,28;15300;34000
F;705;,45;11700;26000
F;669;,47;10350;23000
F;628;,15;5850;13000
F;562;,08;450;1000
F;687;,35;13050;29000
F;697;,05;3600;8000
T;711;,16;2700;6000
F;532;,02;3150;7000
F;680;,09;1800;4000
T;726;,01;9450;21000
T;683;,11;12600;28000
T;745;,09;9000;20000
T;684;,28;9000;20000
F;501;,16;5400;12000
T;698;,23;2700;6000
F;642;,08;450;1000
F;470;,25;2250;5000
T;743;,12;6750;15000
F;760;,29;4950;11000
T;727;,06;5850;13000
F;448;,27;2700;6000
T;671;,21;4950;11000
F;648;,16;225;500
T;696;,13;2700;6000
T;740;,05;8100;18000
F;650;,1;3150;7000
T;697;,24;1800;4000
T;701;,29;1800;4000
T;690;,01;7200;16000
F;675;,26;1800;4000
F;634;,21;3150;7000
T;755;,03;4500;10000
F;611;,07;1350;3000
T;680;,24;5850;13000
T;671;,12;2250;5000
T;680;,15;16650;37000
T;763;,11;7200;16000
T;681;,17;4500;10000
F;593;,08;2700;6000
F;676;,4;15300;34000
T;701;,09;1800;4000
F;702;,48;6300;14000
F;700;,02;16650;37000
T;680;,14;1800;4000
F;703;,32;8550;19000
T;710;,23;3150;7000
F;652;,28;1800;4000
T;719;,23;3150;7000
T;679;,18;1800;4000
T;674;,18;2250;5000
T;698;,11;7200;16000
F;659;,1;14850;33000
F;591;,11;7200;16000
T;661;,16;7650;17000
F;613;,1;1350;3000
F;519;,41;2250;5000
T;691;,18;2250;5000
T;675;,19;3150;7000
F;692;,19;5850;13000
T;693;,16;9900;22000
T;759;,12;450;1000
F;723;,33;11700;26000
T;696;,19;2700;6000
T;794;,06;1350;3000
F;420;,19;2700;6000
F;745;,29;4500;10000
F;521;,33;11700;26000
F;634;,04;2250;5000
T;727;,1;15750;35000
F;643;,06;3600;8000
F;521;,15;8550;19000
F;623;,03;15750;35000
T;723;,33;6300;14000
T;664;,04;2700;6000
F;661;,33;12600;28000
F;594;,09;7650;17000
T;720;,05;3150;7000
F;642;,11;1800;4000
T;673;,25;5850;13000
F;507;,02;6750;15000
T;771;,12;2700;6000
F;658;,03;3600;8000
F;627;,23;8100;18000
F;671;,16;5400;12000
T;749;,02;2700;6000
F;523;,07;10350;23000
T;656;,16;4950;11000
T;689;,09;9900;22000
F;670;,4;13050;29000
F;661;,05;2250;5000
T;769;,22;1350;3000
T;650;,09;8100;18000
F;695;,21;2700;6000
T;731;,22;450;1000
F;670;,29;3150;7000
T;689;,28;2700;6000
T;732;,19;1350;3000
F;615;,17;8100;18000
T;734;,12;450;1000
T;671;,19;5850;13000
T;674;,01;2250;5000
T;686;,18;8550;19000
T;739;,22;6750;15000
F;598;,15;12600;28000
T;672;,16;1350;3000
F;648;,09;12150;27000
F;535;,82;450;1000
F;697;,53;13050;29000
F;620;,26;14850;33000
T;728;,13;10350;23000
T;675;,14;4050;9000
F;695;,1;7200;16000
F;566;,03;1350;3000
F;678;,39;6750;15000
T;729;,14;3600;8000
T;689;,06;6750;15000
T;692;,31;3600;8000
T;675;,25;4950;11000
T;704;,25;7200;16000
F;572;,02;7650;17000
T;710;,08;2700;6000
F;594;,39;900;2000
F;503;,27;4950;11000
T;747;,19;9900;22000
T;678;,24;10350;23000
F;632;,14;6300;14000
T;666;,1;13050;29000
F;640;,51;7650;17000
T;670;,19;10800;24000
F;680;,08;11700;26000
T;692;,34;3150;7000
F;636;,3;7200;16000
F;676;,1;900;2000
T;690;,14;6750;15000
T;678;,09;4950;11000
T;679;,21;4950;11000
T;672;,11;225;500
F;705;,2;3600;8000
T;659;,14;6750;15000
F;556;,11;10350;23000
T;716;,11;9000;20000
F;514;,23;1800;4000
T;719;,25;3150;7000
T;693;,15;6300;14000
T;678;,17;11250;25000
F;720;,07;7650;17000
F;596;,28;9900;22000
T;698;,21;5850;13000
T;653;,1;11250;25000
F;531;,13;450;1000
F;523;,49;1800;4000
F;463;,06;2250;5000
T;656;,03;2250;5000
T;675;,13;2250;5000
F;694;,07;16200;36000
F;671;,37;8550;19000
T;758;,03;7650;17000
T;685;,01;3150;7000
T;692;,09;900;2000
F;786;,18;4500;10000
T;721;,04;3600;8000
F;496;,56;1350;3000
F;476;,21;5400;12000
F;501;,94;225;500
T;718;,17;4950;11000
F;673;,21;4050;9000
F;687;,35;10350;23000
F;767;,55;11250;25000
T;683;,1;11700;26000
T;729;,04;4500;10000
F;673;,48;2250;5000
F;675;,45;9450;21000
F;542;,04;4500;10000
T;662;,05;6300;14000
F;432;,13;1350;3000
F;525;,13;2250;5000
F;628;,13;4950;11000
T;714;,08;1800;4000
F;744;,91;12150;27000
F;632;,36;4500;10000
T;693;,08;225;500
F;678;,02;7650;17000
T;733;,16;4950;11000
F;652;,12;13500;30000
T;732;,04;3150;7000
T;652;,15;5850;13000
F;666;,21;9000;20000
T;671;,18;2700;6000
F;622;,36;3600;8000
T;711;,11;2250;5000
F;645;,21;4500;10000
T;686;,1;3600;8000
T;763;,07;11700;26000
T;679;,24;2700;6000
F;564;,3;1350;3000
F;636;,24;2250;5000
T;683;,27;11700;26000
T;721;,11;6750;15000
T;765;,08;8550;19000
T;707;,25;1350;3000
T;727;,01;6300;14000
F;607;,1;1350;3000
T;720;,23;7200;16000
T;779;,09;2700;6000
T;746;,12;8100;18000
T;767;,17;7650;17000
T;686;,09;4500;10000
T;704;,1;2250;5000
T;729;,13;3150;7000
F;680;,49;15300;34000
T;680;,14;7650;17000
T;709;,32;225;500
T;711;,29;2700;6000
T;680;,18;8550;19000
T;692;,21;4050;9000
T;772;,1;2250;5000
F;683;,1;5850;13000
T;677;,13;4500;10000
T;750;,19;17100;38000
F;478;,1;1350;3000
F;673;,49;14400;32000
F;684;,56;11700;26000
T;685;,24;4950;11000
T;692;,08;2250;5000
F;763;,01;3150;7000
T;687;,03;2250;5000
T;685;,29;13050;29000
F;577;,38;9450;21000
F;706;,45;14400;32000
F;593;,27;2700;6000
F;602;,37;5400;12000
F;605;,05;13500;30000
F;683;,23;9000;20000
T;666;,18;13500;30000
T;773;,04;4500;10000
T;761;,03;1800;4000
T;797;,16;16200;36000
T;746;,22;3600;8000
T;715;,04;5400;12000
F;606;,01;225;500
F;655;,27;6750;15000
T;727;,21;2250;5000
F;532;,25;3150;7000
T;689;,23;13500;30000
F;660;,5;12150;27000
F;659;,09;1350;3000
F;715;,22;3600;8000
F;528;,18;3600;8000
T;814;,08;4500;10000
F;716;,42;8100;18000
F;641;,26;900;2000
F;756;,22;4950;11000
T;714;,03;5400;12000
F;621;,07;5850;13000
F;603;,02;8550;19000
T;762;,1;2250;5000
T;682;,21;9000;20000
F;666;,17;1350;3000
T;720;,11;1350;3000
F;642;,08;3150;7000
F;705;,1;5850;13000
T;669;,17;900;2000
T;730;,13;2250;5000
F;701;,37;900;2000
F;551;,54;3600;8000
F;735;,31;8550;19000
F;654;,19;4050;9000
T;680;,16;7650;17000
T;733;,04;5850;13000
T;679;,27;13500;30000
F;639;,23;2250;5000
T;694;,08;14850;33000
F;712;,29;2700;6000
F;664;,77;3150;7000
F;689;,05;1350;3000
T;665;,14;3600;8000
T;720;,15;11700;26000
F;591;,06;3150;7000
F;565;,02;4500;10000
F;764;,23;5400;12000
T;726;,17;8550;19000
T;669;,25;4050;9000
F;535;,04;2250;5000
F;635;,68;3600;8000
F;664;,18;4950;11000
T;751;,15;4050;9000
F;643;,41;15300;34000
F;596;,04;450;1000
T;713;,05;6300;14000
F;647;,2;13500;30000
F;645;,13;5850;13000
F;661;,03;2250;5000
T;671;,29;3600;8000
F;607;,04;2700;6000
F;688;,28;8100;18000
T;687;,27;8550;19000
T;651;,24;1800;4000
T;742;,12;4050;9000
F;666;,56;3150;7000
T;662;,27;1800;4000
T;699;,18;10800;24000
T;692;,1;2700;6000
T;697;,25;4050;9000
F;519;,17;2700;6000
F;501;,3;3150;7000
T;705;,1;4500;10000
F;519;,04;1350;3000
F;613;,24;1800;4000
T;751;,12;7650;17000
F;604;,03;7200;16000
T;697;,17;4050;9000
T;676;,13;3600;8000
F;629;,15;2700;6000
T;709;,07;4950;11000
T;758;,24;7650;17000
T;697;,21;3600;8000
T;694;,2;4500;10000
F;709;,39;4950;11000
F;632;,05;4050;9000
T;707;,15;15750;35000
F;696;,62;12600;28000
F;686;,79;7650;17000
T;778;,07;17100;38000
T;737;,13;4500;10000
T;676;,14;2250;5000
T;731;,12;2250;5000
T;757;0;7650;17000
F;679;,29;12600;28000
T;716;,17;3600;8000
F;736;,1;4050;9000
T;742;,09;4500;10000
F;687;,12;1800;4000
F;666;,22;3150;7000
F;686;,43;450;1000
T;692;,1;8100;18000
T;665;,08;4050;9000
F;623;,04;17550;39000
T;665;,06;4500;10000
F;619;,05;3600;8000
F;655;,4;4050;9000
F;692;,17;13500;30000
T;712;,19;4500;10000
T;729;,19;2700;6000
F;564;,17;3150;7000
T;722;,17;7200;16000
T;697;,1;4050;9000
T;703;,18;3150;7000
F;612;,2;9450;21000
T;688;,27;6750;15000
T;688;,05;6750;15000
T;814;,02;8550;19000
F;587;,39;1800;4000
F;714;,43;2700;6000
F;571;,22;1350;3000
T;693;,08;1800;4000
F;652;,08;5850;13000
F;792;,16;5850;13000
T;796;,04;4950;11000
F;691;,11;1800;4000
T;719;,24;5850;13000
F;745;,37;13500;30000
T;698;,1;12600;28000
F;675;,24;900;2000
T;682;,15;4050;9000
T;674;,17;5850;13000
F;657;,33;900;2000
T;759;,14;3150;7000
T;717;,21;1800;4000
T;693;,14;4950;11000
T;721;,21;7650;17000
T;684;,21;3600;8000
T;687;,14;2700;6000
F;479;,49;5850;13000
F;622;,3;8550;19000
F;612;,02;2250;5000
F;688;,56;6300;14000
F;687;,36;15300;34000
F;627;,08;1800;4000
F;531;,37;4050;9000
T;747;,25;3600;8000
T;667;,19;4500;10000
T;707;,17;4950;11000
T;665;,13;450;1000
F;626;,15;3150;7000
F;641;,48;2700;6000
F;678;,14;2250;5000
T;712;,03;4050;9000
F;617;,18;4500;10000
T;699;,1;8100;18000
T;783;,04;5850;13000
T;677;,22;5850;13000
F;744;,01;2700;6000
T;684;,15;15750;35000
F;599;,86;14850;33000
F;481;,06;6300;14000
T;666;,3;450;1000
F;641;,11;11250;25000
F;747;,02;3600;8000
T;804;,03;4500;10000
T;688;,04;6750;15000
F;723;,47;10800;24000
F;641;,43;16650;37000
T;670;,2;4050;9000
T;701;,2;4050;9000
T;722;,08;11250;25000
T;693;,26;1800;4000
T;810;,06;5400;12000
F;509;,16;3150;7000
F;664;,19;17550;39000
T;674;,18;9900;22000
F;602;,8;2250;5000
F;699;,3;9000;20000
T;716;,14;225;500
T;664;,04;3150;7000
F;552;,29;2250;5000
T;689;,15;11250;25000
F;724;,13;7200;16000
F;670;,14;10800;24000
F;634;,09;5850;13000
F;529;,15;3150;7000
F;627;,4;7650;17000
F;555;,09;17550;39000
T;710;,23;3150;7000
T;671;,21;3150;7000
F;696;,18;8550;19000
F;487;,04;1350;3000
F;723;,3;3600;8000
F;541;,03;1350;3000
F;538;,05;1800;4000
T;806;,3;2700;6000
T;741;,03;1800;4000
T;807;,01;3600;8000
T;769;,13;900;2000
T;660;,19;5400;12000
F;464;,2;4500;10000
T;732;,3;4500;10000
T;671;,03;2700;6000
F;599;,23;5850;13000
F;498;,16;1350;3000
T;677;,09;3150;7000
T;670;,24;8100;18000
F;630;,32;225;500
T;711;,11;2250;5000
F;655;,23;3600;8000
F;644;,15;6750;15000
F;494;,12;4050;9000
T;722;,2;7200;16000
T;665;,14;3600;8000
T;726;,23;6300;14000
F;563;,28;4950;11000
F;562;,09;2700;6000
F;661;,33;7200;16000
T;706;,07;2700;6000
F;696;,59;10350;23000
T;716;,11;6750;15000
F;666;,19;5850;13000
F;565;,06;1350;3000
T;821;,02;5400;12000
F;648;,19;450;1000
F;678;,26;5850;13000
T;686;,15;5850;13000
F;762;,14;4950;11000
F;698;,29;4050;9000
F;534;,09;1350;3000
T;699;,35;12150;27000
F;720;,03;16200;36000
F;646;,16;2250;5000
T;677;,11;1350;3000
F;550;,17;7650;17000
F;675;,47;1350;3000
F;608;0;3150;7000
F;635;,18;900;2000
T;728;,09;7650;17000
T;680;,34;4950;11000
T;790;,13;5400;12000
T;682;,05;4950;11000
F;558;,2;7650;17000
F;644;,21;225;500
F;637;,12;2700;6000
F;626;,11;16200;36000
T;678;,25;2700;6000
T;671;,16;2700;6000
F;679;,29;900;2000
T;765;,27;7200;16000
T;691;,19;3150;7000
T;695;,17;5400;12000
F;706;,02;15300;34000
F;706;,04;2250;5000
F;495;,4;8100;18000
T;759;,18;18000;40000
T;754;,12;14850;33000
F;695;,48;9900;22000
T;698;,19;7650;17000
T;690;,18;4500;10000
T;680;,05;9450;21000
F;656;,19;15750;35000
F;717;,34;2250;5000
F;695;,26;4500;10000
F;680;,21;225;500
T;738;,07;10800;24000
T;668;,2;3150;7000
F;562;,23;9000;20000
T;796;,06;6300;14000
T;768;,14;4050;9000
F;552;,08;450;1000
T;772;,03;4500;10000
F;604;,28;4500;10000
T;694;,25;4050;9000
F;703;,32;13500;30000
F;635;,2;16650;37000
T;720;,09;8100;18000
F;645;,2;12600;28000
F;645;,27;1350;3000
T;684;,15;9900;22000
T;759;,15;2250;5000
F;609;,22;6750;15000
T;731;,25;7200;16000
T;692;,22;5400;12000
T;689;,16;4500;10000
F;605;,25;2700;6000
T;675;,21;6300;14000
F;705;,4;14850;33000
T;762;,09;8550;19000
T;725;,06;7200;16000
T;723;,11;1800;4000
F;661;,26;11250;25000
F;654;,27;4050;9000
F;738;,46;4050;9000
F;669;,31;6750;15000
F;794;,04;3150;7000
T;711;,09;9000;20000
T;689;,13;14850;33000
F;644;,22;5400;12000
F;580;,18;4500;10000
T;688;,11;7650;17000
T;719;,25;3150;7000
F;770;,05;13950;31000
T;712;,16;9000;20000
F;685;,24;9000;20000
T;671;,05;1350;3000
T;694;,07;900;2000
T;666;,24;3150;7000
F;630;,07;9000;20000
T;789;,14;1350;3000
T;687;,1;7650;17000
T;685;,12;2250;5000
T;702;,22;2250;5000
T;674;,23;1350;3000
F;735;,09;8100;18000
T;687;,2;2700;6000
T;722;,26;4500;10000
F;693;,24;10350;23000
F;676;,25;4500;10000
F;695;0;4050;9000
T;702;,17;14400;32000
F;643;,26;8100;18000
F;706;,39;4950;11000
T;693;,11;7650;17000
T;754;,08;8100;18000
F;540;,22;4500;10000
F;653;,25;2250;5000
T;729;,27;5850;13000
T;702;,07;2700;6000
F;757;,2;7650;17000
T;702;,23;15750;35000
T;660;,04;8550;19000
T;664;,17;2700;6000
F;555;,04;5400;12000
T;675;,31;2700;6000
T;773;,08;13500;30000
T;829;,1;6750;15000
T;697;,32;9900;22000
F;631;,5;4500;10000
T;675;,2;4500;10000
T;708;,21;3150;7000
T;686;,18;4500;10000
T;704;,02;8550;19000
F;568;,19;6300;14000
T;657;,13;14400;32000
T;701;,24;450;1000
T;695;,22;3150;7000
F;738;,48;14850;33000
F;596;,05;8550;19000
T;696;,07;4950;11000
F;700;,39;4950;11000
T;762;,12;900;2000
F;779;,17;7200;16000
T;694;,15;3150;7000
T;663;,17;1800;4000
T;741;,06;9000;20000
T;805;,19;4500;10000
F;792;,01;4950;11000
T;750;,14;4950;11000
F;585;,02;7650;17000
T;749;,03;8100;18000
T;691;,23;900;2000
F;639;,41;10350;23000
F;707;,18;13950;31000
F;689;,29;6750;15000
F;508;,03;900;2000
F;631;,2;5850;13000
F;647;,2;9000;20000
F;630;,01;450;1000
T;773;,08;12150;27000
T;684;,15;2250;5000
F;616;,09;9450;21000
T;690;,09;4500;10000
T;728;,22;9000;20000
F;668;,37;12600;28000
F;649;,15;4950;11000
F;528;,26;8100;18000
F;454;,19;1350;3000
T;702;,15;9000;20000
T;692;,17;4500;10000
T;714;,03;2700;6000
T;696;,14;1800;4000
T;714;,2;16650;37000
T;688;,16;2700;6000
T;676;,07;7200;16000
F;705;,14;3600;8000
T;735;,15;6750;15000
T;679;,04;3150;7000
F;709;,59;6300;14000
T;778;,25;16650;37000
T;677;,14;9000;20000
F;592;,09;15300;34000
T;670;,1;4950;11000
T;758;,14;10350;23000
F;678;,32;9900;22000
T;663;,2;13050;29000
F;635;,14;1800;4000
